,Title_of_Movie,Release_Year,Runtime_(min),IMDB_Rating,Metascore,Votes,Box_Office_(Million $)
478,Rebecca,1940,130,8.1,86        ,137608,4.36
479,The Grapes of Wrath,1940,129,8.1,96        ,93615,0.06
480,The Wizard of Oz,1939,102,8.1,92        ,399003,2.08
481,Mr. Smith Goes to Washington,1939,129,8.1,73        ,115991,9.60
482,La Grande Illusion,1937,113,8.1,Not Metascore available,36883,0.17
483,Het gebeurde op 'n avond,1934,105,8.1,87        ,104312,4.36
484,All Quiet on the Western Front,1930,152,8.1,91        ,62316,3.27
485,The Circus,1928,72,8.1,90        ,34010,Not Box Office available
486,Sunrise: A Song of Two Humans,1927,94,8.1,Not Metascore available,51273,0.54
487,Faust: Eine deutsche Volkssage,1926,107,8.1,Not Metascore available,15458,Not Box Office available
488,Greed,1924,140,8.1,Not Metascore available,10087,0.16
489,Safety Last!,1923,74,8.1,Not Metascore available,20915,1.36
490,"Quo vadis, Aida?",2020,101,8.0,97        ,33501,Not Box Office available
491,RRR,2022,187,8.0,83        ,113906,Not Box Office available
492,Arjun Reddy,2017,182,8.0,Not Metascore available,25710,Not Box Office available
493,Kimi no suizô o tabetai,2018,109,8.0,Not Metascore available,17185,0.28
494,Ahlat Agaci,2018,188,8.0,86        ,24679,0.03
495,Wolfwalkers,2020,103,8.0,87        ,32367,Not Box Office available
496,Charlie,VII 2015,130,8.0,Not Metascore available,11212,Not Box Office available
497,Contratiempo,2016,106,8.0,Not Metascore available,175707,Not Box Office available
498,Sarmasik,2015,104,8.0,Not Metascore available,12129,Not Box Office available
499,Kaththi,2014,166,8.0,Not Metascore available,27199,Not Box Office available
500,La La Land,2016,128,8.0,94        ,583254,151.10
501,Lion,2016,118,8.0,69        ,236542,51.74
502,The Martian,2015,144,8.0,80        ,848753,228.43
503,Mommy,I 2014,139,8.0,74        ,57345,3.49
504,Durak,II 2014,116,8.0,83        ,14632,Not Box Office available
505,The Blue Elephant,2014,170,8.0,Not Metascore available,28697,Not Box Office available
506,Manjhi: The Mountain Man,2015,120,8.0,Not Metascore available,19284,Not Box Office available
507,Haider,2014,160,8.0,Not Metascore available,55257,0.90
508,Soul,2020,100,8.0,83        ,326314,Not Box Office available
509,Zootropolis,2016,108,8.0,78        ,496172,341.27
510,Manam,I 2014,163,8.0,Not Metascore available,11019,Not Box Office available
511,Bãhubali: The Beginning,2015,159,8.0,Not Metascore available,125158,6.74
512,Kaguya-hime no Monogatari,2013,137,8.0,89        ,47075,1.51
513,Shin Evangelion Gekijôban,2021,154,8.0,84        ,10405,Not Box Office available
514,Special Chabbis,2013,144,8.0,Not Metascore available,56541,1.08
515,1 - Nenokkadine,2014,170,8.0,Not Metascore available,45543,Not Box Office available
516,Thuppakki,2012,165,8.0,Not Metascore available,34633,Not Box Office available
517,Dedemin Insanlari,2011,126,8.0,Not Metascore available,10835,Not Box Office available
518,The Imitation Game,2014,114,8.0,71        ,765887,91.13
519,Do-ga-ni,2011,125,8.0,Not Metascore available,17352,Not Box Office available
520,Guardians of the Galaxy,2014,121,8.0,76        ,1170539,333.18
521,Het lied van de zee,2014,93,8.0,85        ,58686,0.86
522,Blade Runner 2049,2017,164,8.0,81        ,565848,92.05
523,Her,2013,126,8.0,91        ,610050,25.57
524,The Revenant,2015,156,8.0,76        ,799022,183.64
525,The Perks of Being a Wallflower,2012,103,8.0,67        ,510528,17.74
526,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,8.0,71        ,83427,0.10
527,The King's Speech,2010,118,8.0,88        ,679925,138.80
528,Kimssi pyoryugi,2009,116,8.0,Not Metascore available,18512,Not Box Office available
529,Deadpool,2016,108,8.0,65        ,1029836,363.07
530,Devrim Arabalari,2008,115,8.0,Not Metascore available,12187,Not Box Office available
531,The Stoning of Soraya M.,2008,116,8.0,50        ,20701,0.66
532,Gulaal,2009,140,8.0,Not Metascore available,15140,Not Box Office available
533,Zack Snyder's Justice League,2021,242,8.0,54        ,394070,Not Box Office available
534,Ip Man,2008,106,8.0,59        ,224249,Not Box Office available
535,De ademtocht,2009,128,8.0,Not Metascore available,33892,Not Box Office available
536,Dune,2021,155,8.0,74        ,621960,108.33
537,Karnan,2021,158,8.0,Not Metascore available,22106,Not Box Office available
538,Ai no mukidashi,2008,237,8.0,78        ,14226,Not Box Office available
539,Malik,2021,162,8.0,Not Metascore available,12963,Not Box Office available
540,Okuribito,2008,130,8.0,68        ,52390,1.50
541,CODA,2021,111,8.0,74        ,129450,Not Box Office available
542,Slumdog Millionaire,2008,120,8.0,84        ,843754,141.32
543,Black Swan,2010,108,8.0,79        ,764033,106.95
544,Tropa de Elite,2007,115,8.0,33        ,104565,0.01
545,The Avengers,2012,143,8.0,69        ,1383890,623.28
546,Pokiri,2006,164,8.0,Not Metascore available,14691,Not Box Office available
547,Persepolis,2007,96,8.0,90        ,95145,4.45
548,Lage Raho Munna Bhai,2006,144,8.0,Not Metascore available,47365,2.22
549,The Pursuit of Happyness,2006,117,8.0,64        ,510128,163.57
550,Blood Diamond,2006,143,8.0,64        ,548765,57.37
551,The Bourne Ultimatum,2007,115,8.0,85        ,634605,227.47
552,Lakposhtha parvaz mikonand,2004,98,8.0,85        ,19840,0.26
553,Dare mo shiranai,2004,141,8.0,88        ,28317,0.68
554,Sin City,2005,124,8.0,74        ,768615,74.10
555,The Diving Bell and the Butterfly,2007,112,8.0,92        ,107945,5.99
556,Taegukgi hwinalrimyeo,2004,140,8.0,64        ,39894,1.11
557,G.O.R.A.,2004,127,8.0,Not Metascore available,63104,Not Box Office available
558,Casino Royale,2006,144,8.0,80        ,656297,167.45
559,Maqbool,2003,132,8.0,Not Metascore available,11027,Not Box Office available
560,Kill Bill 2,2004,137,8.0,83        ,753546,66.21
561,"Spring, Summer, Fall, Winter... and Spring",2003,103,8.0,85        ,83287,2.38
562,Mar adentro,I 2004,126,8.0,74        ,82117,2.09
563,Cinderella Man,2005,144,8.0,69        ,188468,61.65
564,Mou gaan dou,2002,101,8.0,75        ,125121,0.17
565,Big Fish,2003,125,8.0,58        ,441480,66.26
566,The Incredibles,2004,115,8.0,90        ,733185,261.44
567,Company,2002,142,8.0,Not Metascore available,15581,Not Box Office available
568,Yeopgijeogin geunyeo,2001,137,8.0,Not Metascore available,48431,Not Box Office available
569,Dogville,2003,178,8.0,60        ,149425,1.53
570,Vizontele,2001,110,8.0,Not Metascore available,36913,Not Box Office available
571,Çiçek Abbas,1982,87,8.0,Not Metascore available,10516,Not Box Office available
572,Werckmeister harmóniák,2000,145,8.0,92        ,14354,0.03
573,Donnie Darko,2001,113,8.0,88        ,798856,1.48
574,Vaastav: The Reality,1999,145,8.0,Not Metascore available,14039,Not Box Office available
575,Gemide,1998,102,8.0,Not Metascore available,14978,Not Box Office available
576,Magnolia,1999,188,8.0,77        ,313012,22.46
577,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,8.0,Not Metascore available,55082,Not Box Office available
578,The Straight Story,1999,112,8.0,86        ,90932,6.20
579,Rane,1998,103,8.0,Not Metascore available,11032,Not Box Office available
580,Perfect Blue,1997,81,8.0,67        ,76862,0.78
581,Central do Brasil,1998,108,8.0,80        ,39909,5.60
582,La leggenda del pianista sull'oceano,1998,169,8.0,58        ,64717,0.26
583,"Crna macka, beli macor",1998,127,8.0,73        ,54121,0.35
584,Sling Blade,1996,135,8.0,84        ,94387,24.48
585,Secrets and Lies,1996,136,8.0,91        ,43731,13.42
586,12 Monkeys,1995,129,8.0,74        ,617262,57.14
587,Dilwale Dulhania Le Jayenge,1995,189,8.0,Not Metascore available,70045,Not Box Office available
588,Chung Hing sam lam,1994,102,8.0,78        ,82151,0.60
589,Andaz Apna Apna,1994,160,8.0,Not Metascore available,53549,Not Box Office available
590,Scent of a Woman,1992,156,8.0,59        ,296397,63.90
591,Aladdin,1992,90,8.0,86        ,418191,217.35
592,JFK,1991,189,8.0,72        ,156661,70.41
593,Belle en het Beest,1991,84,8.0,95        ,454048,218.97
594,Dances with Wolves,1990,181,8.0,72        ,265609,184.21
595,Rain Man,1988,133,8.0,65        ,513685,178.80
596,Krótki film o zabijaniu,1988,84,8.0,Not Metascore available,20482,Not Box Office available
597,Akira,1988,124,8.0,67        ,186687,0.55
598,The Princess Bride,1987,98,8.0,77        ,426994,30.86
599,Der Himmel über Berlin,1987,128,8.0,79        ,71510,3.33
600,Au revoir les enfants,1987,104,8.0,88        ,34139,4.54
601,Tenkû no shiro Rapyuta,1986,125,8.0,78        ,166732,Not Box Office available
602,Manon des sources,1986,113,8.0,Not Metascore available,22625,3.94
603,Kin-dza-dza!,1986,135,8.0,Not Metascore available,12761,Not Box Office available
604,Kaze no tani no Naushika,1984,117,8.0,86        ,169517,0.50
605,Nostalgia,1983,125,8.0,Not Metascore available,27375,0.01
606,Yol,1982,107,8.0,Not Metascore available,13720,Not Box Office available
607,Pink Floyd: The Wall,1982,95,8.0,47        ,81460,22.24
608,Fitzcarraldo,1982,158,8.0,Not Metascore available,35380,Not Box Office available
609,Monty Python's Life of Brian,1979,94,8.0,77        ,399482,20.05
610,Being There,1979,130,8.0,83        ,73008,30.18
611,Annie Hall,1977,93,8.0,92        ,265907,39.20
612,Dog Day Afternoon,1975,125,8.0,86        ,257405,50.00
613,Deewaar,1975,174,8.0,Not Metascore available,11141,Not Box Office available
614,Zerkalo,1975,107,8.0,80        ,47096,0.18
615,Young Frankenstein,1974,106,8.0,80        ,159025,86.30
616,Angst essen Seele auf,1974,92,8.0,Not Metascore available,21760,Not Box Office available
617,Papillon,1973,151,8.0,58        ,131117,53.27
618,La nuit américaine,1973,116,8.0,Not Metascore available,23157,0.02
619,Schreeuw zonder antwoord,1972,91,8.0,Not Metascore available,34453,1.74
620,Solaris,1972,167,8.0,90        ,91628,Not Box Office available
621,Sleuth,1972,138,8.0,Not Metascore available,47967,4.08
622,The Last Picture Show,1971,118,8.0,93        ,48720,29.13
623,Fiddler on the Roof,1971,181,8.0,67        ,43865,80.50
624,De dader staat boven verdenking,1970,115,8.0,89        ,11687,0.27
625,Butch Cassidy and the Sundance Kid,1969,110,8.0,66        ,216306,102.31
626,Skammen,1968,103,8.0,Not Metascore available,13928,Not Box Office available
627,Rosemary's Baby,1968,137,8.0,96        ,217404,Not Box Office available
628,Apenplaneet,1968,112,8.0,79        ,180691,33.40
629,Le Samouraï,1967,105,8.0,Not Metascore available,51958,0.04
630,The Graduate,1967,106,8.0,83        ,273545,104.95
631,Wie is bang voor Virginia Woolf?,1966,131,8.0,75        ,75725,Not Box Office available
632,Fail Safe,1964,112,8.0,75        ,22471,Not Box Office available
633,Nattvardsgästerna,1963,81,8.0,Not Metascore available,25209,Not Box Office available
634,Il gattopardo,1963,186,8.0,100        ,26231,Not Box Office available
