,Title_of_Movie,Release_Year,Runtime_(min),IMDB_Rating,Metascore,Votes,Box_Office_(Million $)
851,King Kong,1933,100,7.9,90        ,86016,10.00
852,Das Testament des Dr. Mabuse,1933,122,7.9,Not Metascore available,12761,Not Box Office available
853,Nosferatu,1922,94,7.9,Not Metascore available,98102,Not Box Office available
854,Metri shesh va nim,2019,131,7.8,Not Metascore available,15611,Not Box Office available
855,System Crasher,2019,125,7.8,89        ,13175,Not Box Office available
856,The Gentlemen,2019,113,7.8,51        ,335657,36.47
857,Badla,2019,118,7.8,Not Metascore available,28353,1.86
858,Goodachari,2018,147,7.8,Not Metascore available,10681,Not Box Office available
859,Secret Superstar,2017,150,7.8,Not Metascore available,26681,Not Box Office available
860,Hindi Medium,2017,132,7.8,Not Metascore available,29346,Not Box Office available
861,Call Me by Your Name,2017,132,7.8,93        ,270997,18.10
862,"I, Daniel Blake",2016,100,7.8,78        ,60366,0.26
863,Isle of Dogs,2018,101,7.8,82        ,168746,32.02
864,Dunkirk,2017,106,7.8,94        ,653210,188.37
865,24,I 2016,164,7.8,Not Metascore available,22342,Not Box Office available
866,Hidden Figures,2016,127,7.8,74        ,229696,169.61
867,Hunt for the Wilderpeople,2016,101,7.8,81        ,130967,5.20
868,Boruto: Naruto the Movie,2015,95,7.8,Not Metascore available,10835,Not Box Office available
869,Paddington 2,2017,103,7.8,88        ,78952,40.44
870,El abrazo de la serpiente,2015,125,7.8,82        ,23117,1.33
871,Manchester by the Sea,2016,137,7.8,96        ,281685,47.70
872,Under sandet,2015,100,7.8,75        ,41606,0.44
873,Star Wars: Rogue One,2016,133,7.8,65        ,631673,532.18
874,Itirazim Var,2014,110,7.8,Not Metascore available,13311,Not Box Office available
875,Captain Fantastic,2016,118,7.8,72        ,219179,5.88
876,Captain America: Civil War,2016,147,7.8,75        ,782000,408.08
877,The Hateful Eight,2015,168,7.8,68        ,596337,54.12
878,Little Women,2019,135,7.8,91        ,203110,108.10
879,Loving Vincent,2017,94,7.8,62        ,58326,6.74
880,Pride,I 2014,119,7.8,79        ,57655,Not Box Office available
881,Nightcrawler,2014,117,7.8,76        ,543681,32.38
882,The Beautiful Risk,2013,91,7.8,Not Metascore available,11338,0.04
883,Star Wars: Episode VII - The Force Awakens,2015,138,7.8,80        ,927233,936.66
884,Berserk: Ougon jidai-hen III - Kourin,2013,110,7.8,Not Metascore available,10505,Not Box Office available
885,The Lunchbox,2013,104,7.8,76        ,56656,4.23
886,Soshite chichi ni naru,2013,121,7.8,73        ,25317,0.28
887,Vicky Donor,2012,126,7.8,Not Metascore available,43612,0.17
888,Baymax,2014,102,7.8,74        ,460444,222.53
889,Kai po che!,2013,130,7.8,40        ,37290,1.12
890,About Time,I 2013,123,7.8,55        ,349247,15.32
891,English Vinglish,2012,134,7.8,Not Metascore available,36756,1.67
892,Hotarubi no mori e,2011,45,7.8,Not Metascore available,18626,Not Box Office available
893,La migliore offerta,2013,131,7.8,49        ,119761,0.09
894,Captain America: The Winter Soldier,2014,136,7.8,70        ,841060,259.77
895,Bir Zamanlar Anadolu'da,2011,157,7.8,82        ,46673,0.14
896,Ernest et Célestine,2012,80,7.8,86        ,20664,0.29
897,Moonrise Kingdom,2012,94,7.8,84        ,349815,45.51
898,Hoe Tem Je Een Draak 2,2014,102,7.8,77        ,335598,177.00
899,Miss Lovely,2012,113,7.8,52        ,12647,Not Box Office available
900,The Big Short,2015,130,7.8,81        ,429596,70.26
901,Ang-ma-reul bo-at-da,2010,144,7.8,67        ,130992,0.13
902,The Girl with the Dragon Tattoo,2011,158,7.8,71        ,463127,102.52
903,Captain Phillips,2013,134,7.8,82        ,459727,107.10
904,Jujutsu Kaisen 0: The Movie,2021,105,7.8,71        ,18042,34.54
905,Straight Outta Compton,2015,147,7.8,72        ,202526,161.20
906,The Irishman,2019,209,7.8,94        ,385406,7.00
907,Shi,2010,139,7.8,87        ,12408,0.36
908,The Social Network,2010,120,7.8,95        ,699908,96.96
909,Un prophète,2009,155,7.8,90        ,98873,2.08
910,Thirteen Lives,2022,147,7.8,66        ,48305,Not Box Office available
911,Madeo,2009,129,7.8,79        ,64724,0.55
912,Chugyeokja,2008,125,7.8,64        ,66889,Not Box Office available
913,Moon,2009,97,7.8,67        ,359436,5.01
914,De Hobbit: de Woestenij van Smaug,2013,161,7.8,66        ,662104,258.37
915,Das weiße Band - Eine deutsche Kindergeschichte,2009,144,7.8,82        ,74007,2.22
916,Män som hatar kvinnor,2009,152,7.8,76        ,217232,10.10
917,Stranger: Mukô hadan,2007,103,7.8,Not Metascore available,17007,Not Box Office available
918,Skyfall,2012,143,7.8,81        ,695906,304.36
919,Kabadayi,2007,140,7.8,Not Metascore available,22655,Not Box Office available
920,The Worst Person in the World,2021,128,7.8,90        ,63698,Not Box Office available
921,The Fighter,I 2010,116,7.8,79        ,368015,93.62
922,Taken,I 2008,90,7.8,51        ,602424,145.00
923,Once,I 2007,86,7.8,89        ,116956,9.44
924,De Hobbit: Een onverwachte reis,2012,169,7.8,58        ,825836,303.00
925,Kader,2006,103,7.8,Not Metascore available,14453,Not Box Office available
926,Ostrov,2006,112,7.8,Not Metascore available,11955,Not Box Office available
927,Changeling,2008,141,7.8,63        ,256019,35.74
928,Atonement,2007,123,7.8,85        ,278601,50.93
929,Drive,I 2011,100,7.8,78        ,636791,35.06
930,American Gangster,2007,157,7.8,76        ,426695,130.16
931,Avatar,2009,162,7.8,83        ,1242109,760.51
932,Mr. Nobody,2009,141,7.8,63        ,233683,0.00
933,Apocalypto,2006,139,7.8,68        ,313378,50.87
934,The Fall,I 2006,117,7.8,64        ,112735,2.28
935,Moartea domnului Lãzãrescu,2005,153,7.8,86        ,15159,0.08
936,Little Miss Sunshine,2006,101,7.8,80        ,480755,59.89
937,Hot Fuzz,2007,121,7.8,81        ,505352,23.64
938,Gönül Yarasi,2005,142,7.8,Not Metascore available,10078,Not Box Office available
939,The Curious Case of Benjamin Button,2008,166,7.8,70        ,649066,127.51
940,Veer-Zaara,2004,192,7.8,67        ,53538,2.92
941,Pride & Prejudice,2005,129,7.8,82        ,296170,38.41
942,Burt Munro: The World's Fastest Indian,2005,127,7.8,68        ,55346,5.13
943,Tôkyô goddofâzâzu,2003,90,7.8,73        ,40614,0.13
944,Serenity,2005,119,7.8,74        ,296621,25.51
945,Crash,I 2004,112,7.8,66        ,436912,54.58
946,Gangaajal,2003,157,7.8,Not Metascore available,17391,Not Box Office available
947,Les choristes,2004,97,7.8,56        ,62622,3.64
948,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,68,7.8,Not Metascore available,14749,Not Box Office available
949,Walk the Line,2005,136,7.8,72        ,251745,119.52
950,The Notebook,2004,123,7.8,53        ,571378,81.00
951,The Last Samurai,2003,154,7.8,55        ,440923,111.11
952,The Motorcycle Diaries,2004,126,7.8,75        ,101691,16.76
953,Lilja 4-ever,2002,109,7.8,82        ,46025,0.18
954,Son of the Bride,2001,123,7.8,68        ,15765,0.62
955,Nayak: The Real Hero,2001,187,7.8,Not Metascore available,16645,Not Box Office available
956,Sennen joyû,2001,87,7.8,70        ,28393,0.19
957,Bang Bang You're Dead,2002,93,7.8,Not Metascore available,12851,Not Box Office available
958,Cowboy Bebop: Tengoku no tobira,2001,115,7.8,61        ,49142,1.00
959,Gongdong gyeongbi guyeok JSA,2000,110,7.8,58        ,30718,Not Box Office available
960,Wo de fu qin mu qin,1999,89,7.8,71        ,13347,1.28
961,Remember the Titans,2000,113,7.8,48        ,216155,115.65
962,Todo sobre mi madre,1999,101,7.8,87        ,97342,8.26
963,Cast Away,2000,143,7.8,73        ,590052,233.63
964,The Insider,1999,157,7.8,84        ,171823,28.97
965,October Sky,1999,108,7.8,71        ,91667,32.48
966,Being John Malkovich,1999,113,7.8,90        ,335895,22.86
967,Gattaca,1997,106,7.8,64        ,304781,12.34
968,Brat,1997,96,7.8,Not Metascore available,21739,Not Box Office available
969,Kolja,1996,105,7.8,Not Metascore available,15534,5.73
970,Hamlet,1996,242,7.8,Not Metascore available,38406,4.41
971,Breaking the Waves,1996,159,7.8,76        ,67474,4.04
972,Yin shi nan nu,1994,124,7.8,79        ,21354,7.29
973,Utomlennye solntsem,1994,135,7.8,Not Metascore available,15544,2.62
974,Ed Wood,1994,127,7.8,70        ,176960,5.89
975,Tombstone,1993,130,7.8,50        ,149627,56.51
976,The Sandlot,1993,101,7.8,55        ,92906,32.42
977,The Remains of the Day,1993,134,7.8,86        ,74989,22.95
978,Jûbê ninpûchô,1993,94,7.8,Not Metascore available,37808,Not Box Office available
979,The Fugitive,1993,130,7.8,87        ,295573,183.88
980,A Bronx Tale,1993,121,7.8,80        ,142659,17.27
981,Batman: Mask of the Phantasm,1993,76,7.8,65        ,51409,5.62
982,Boyz n the Hood,1991,112,7.8,76        ,141398,57.50
983,Misery,1990,107,7.8,75        ,212341,61.28
984,Awakenings,1990,121,7.8,74        ,142150,52.10
985,Kiki's vliegende koeriersdienst,1989,103,7.8,83        ,144975,Not Box Office available
986,Glory,1989,122,7.8,78        ,135601,26.83
987,The Killer,1989,111,7.8,82        ,48746,Not Box Office available
988,Crimes and Misdemeanors,1989,104,7.8,77        ,58351,18.25
989,Back to the Future Part II,1989,108,7.8,57        ,531226,118.50
990,Mississippi Burning,1988,128,7.8,65        ,101381,34.60
991,Predator,1987,107,7.8,47        ,422931,59.74
992,Pelle erobreren,1987,157,7.8,Not Metascore available,11182,2.05
993,Mr. India,1987,179,7.8,Not Metascore available,15667,Not Box Office available
994,Babettes gæstebud,1987,103,7.8,78        ,20396,4.40
995,Ferris Bueller's Day Off,1986,103,7.8,61        ,358165,70.14
996,The Breakfast Club,1985,97,7.8,66        ,397945,45.88
997,The Killing Fields,1984,141,7.8,76        ,55887,34.70
998,Ghostbusters,1984,105,7.8,71        ,414697,238.63
999,The Right Stuff,1983,193,7.8,91        ,61870,21.50
1000,The King of Comedy,1982,109,7.8,73        ,104358,2.50
1001,'Breaker' Morant,1980,107,7.8,72        ,13647,7.14
1002,Kramer vs. Kramer,1979,105,7.8,77        ,145827,106.26
1003,All That Jazz,1979,123,7.8,72        ,32292,37.82
1004,Days of Heaven,1978,94,7.8,93        ,58591,Not Box Office available
1005,Dawn of the Dead,1978,127,7.8,71        ,121643,5.10
1006,Cet obscur objet du désir,1977,103,7.8,84        ,23038,0.06
1007,Stroszek,1977,115,7.8,Not Metascore available,14387,Not Box Office available
1008,The Outlaw Josey Wales,1976,135,7.8,69        ,74330,31.80
1009,The Man Who Would Be King,1975,129,7.8,91        ,49362,Not Box Office available
1010,La montaña sagrada,1973,114,7.8,76        ,43533,0.06
1011,Le fantôme de la liberté,1974,104,7.8,Not Metascore available,16180,0.01
1012,The Conversation,1974,113,7.8,87        ,112519,4.42
1013,El espíritu de la colmena,1973,98,7.8,87        ,18778,Not Box Office available
1014,The Day of the Jackal,1973,143,7.8,80        ,41412,16.06
1015,Le charme discret de la bourgeoisie,1972,102,7.8,93        ,43410,0.20
1016,Cabaret,1972,124,7.8,80        ,55518,42.77
1017,"Aguirre, der Zorn Gottes",1972,95,7.8,Not Metascore available,57622,Not Box Office available
1018,Willy Wonka & the Chocolate Factory,1971,100,7.8,67        ,202000,4.00
1019,Johnny Got His Gun,1971,111,7.8,71        ,17104,0.55
1020,The Devils,1971,111,7.8,49        ,16479,1.13
1021,"They Shoot Horses, Don't They?",1969,129,7.8,72        ,19420,12.60
1022,Midnight Cowboy,1969,113,7.8,79        ,111525,44.79
1023,Ma nuit chez Maud,1969,110,7.8,Not Metascore available,13284,Not Box Office available
1024,Night of the Living Dead,1968,96,7.8,89        ,129828,0.09
1025,Playtime,1967,155,7.8,Not Metascore available,23272,Not Box Office available
1026,Guess Who's Coming to Dinner,1967,108,7.8,63        ,45661,56.70
1027,Au hasard Balthazar,1966,95,7.8,98        ,20520,0.04
1028,De trein,1964,133,7.8,80        ,16804,7.41
1029,Seven Days in May,1964,118,7.8,73        ,15941,7.96
1030,Les parapluies de Cherbourg,1964,91,7.8,86        ,27961,0.03
1031,My Fair Lady,1964,170,7.8,95        ,95950,72.00
1032,Mary Poppins,1964,139,7.8,88        ,173100,102.27
1033,Becket,1964,148,7.8,68        ,14847,Not Box Office available
1034,Tystnaden,1963,96,7.8,Not Metascore available,20000,Not Box Office available
1035,The Servant,1963,116,7.8,94        ,12447,0.04
1036,Hud,1963,112,7.8,62        ,22134,10.00
1037,The Music Man,1962,151,7.8,76        ,17694,14.95
1038,Days of Wine and Roses,1962,117,7.8,74        ,13062,Not Box Office available
1039,Birdman of Alcatraz,1962,147,7.8,76        ,17889,Not Box Office available
1040,The Innocents,1961,100,7.8,88        ,30839,2.62
1041,La ciociara,1960,101,7.8,Not Metascore available,11281,Not Box Office available
1042,The Children's Hour,1961,108,7.8,49        ,16818,Not Box Office available
1043,L'avventura,1960,144,7.8,Not Metascore available,30101,Not Box Office available
1044,Zolang er mensen zijn,1959,125,7.8,87        ,16635,13.99
1045,Popiól i diament,1958,103,7.8,Not Metascore available,12242,Not Box Office available
1046,The Court Jester,1955,101,7.8,Not Metascore available,12995,0.02
1047,Ten oosten van Eden,1955,118,7.8,72        ,45909,Not Box Office available
1048,I vitelloni,1953,109,7.8,87        ,18648,0.10
1049,Klatergoud,1952,118,7.8,86        ,15168,Not Box Office available
1050,Toen stond de aarde stil,1951,92,7.8,Not Metascore available,82347,Not Box Office available
1051,Dagboek van een dorpspastoor,1951,115,7.8,Not Metascore available,11581,Not Box Office available
1052,Asphalt jungle,1950,112,7.8,85        ,27635,Not Box Office available
1053,Nora inu,1949,122,7.8,Not Metascore available,17403,Not Box Office available
1054,Red River,1948,133,7.8,Not Metascore available,31587,Not Box Office available
1055,Oliver Twist,1948,116,7.8,84        ,12662,Not Box Office available
1056,Monsieur Verdoux,1947,124,7.8,Not Metascore available,17764,0.33
1057,Mrs. Muir ziet spoken,1947,104,7.8,Not Metascore available,19416,Not Box Office available
1058,Germania anno zero,1948,78,7.8,Not Metascore available,12540,Not Box Office available
1059,Great Expectations,1946,118,7.8,90        ,24676,Not Box Office available
1060,Scarlet Street,1945,102,7.8,Not Metascore available,17128,Not Box Office available
1061,Avontuur op Martinique,1944,100,7.8,90        ,35106,Not Box Office available
1062,Gaslicht,1944,114,7.8,78        ,29602,Not Box Office available
1063,Shadow of a Doubt,1943,108,7.8,94        ,66029,Not Box Office available
1064,Le corbeau,1943,92,7.8,Not Metascore available,10125,0.03
1065,His Girl Friday,1940,92,7.8,Not Metascore available,59134,0.30
1066,Stagecoach,1939,96,7.8,93        ,49444,Not Box Office available
1067,Ninotchka,1939,110,7.8,Not Metascore available,21296,1.19
1068,The Hunchback of Notre Dame,1939,117,7.8,Not Metascore available,11529,3.27
1069,You Can't Take It with You,1938,126,7.8,Not Metascore available,26079,4.66
1070,The Lady Vanishes,1938,96,7.8,98        ,53053,Not Box Office available
1071,Bringing Up Baby,1938,102,7.8,91        ,61926,Not Box Office available
1072,Mr. Deeds Goes to Town,1936,115,7.8,Not Metascore available,21804,Not Box Office available
1073,A Night at the Opera,1935,96,7.8,Not Metascore available,33121,2.54
1074,Bride of Frankenstein,1935,75,7.8,95        ,49177,4.36
1075,L'Atalante,1934,89,7.8,Not Metascore available,16164,Not Box Office available
1076,De dictator,1933,69,7.8,93        ,60384,Not Box Office available
1077,Freaks,1932,64,7.8,80        ,46966,0.63
1078,Frankenstein,1931,70,7.8,91        ,73603,Not Box Office available
1079,"Steamboat Bill, Jr.",1928,70,7.8,Not Metascore available,14862,Not Box Office available
1080,Die Büchse der Pandora,1929,109,7.8,Not Metascore available,10953,0.01
1081,Seven Chances,1925,56,7.8,Not Metascore available,10498,0.21
1082,Our Hospitality,1923,65,7.8,Not Metascore available,11449,1.17
1083,Corpus Christi,2019,115,7.7,77        ,19055,Not Box Office available
1084,Geetha Govindam,2018,142,7.7,Not Metascore available,14247,Not Box Office available
1085,Doragon bôru chô: Burorî,2018,100,7.7,59        ,28040,30.71
1086,Aile Arasinda,2017,124,7.7,Not Metascore available,23936,Not Box Office available
1087,Raazi,2018,138,7.7,Not Metascore available,31259,Not Box Office available
1088,Roma,2018,135,7.7,96        ,158332,Not Box Office available
1089,Deadpool 2,2018,119,7.7,66        ,577894,324.59
1090,Sound of Metal,2019,120,7.7,82        ,127286,Not Box Office available
1091,Wind River,2017,107,7.7,73        ,251343,33.80
1092,Werk ohne Autor,2018,189,7.7,68        ,21677,1.30
1093,Forushande,2016,124,7.7,85        ,60822,2.40
1094,Get Out,I 2017,104,7.7,85        ,602442,176.04
1095,Mission: Impossible - Fallout,2018,147,7.7,86        ,331996,220.16
1096,Perfetti sconosciuti,2016,96,7.7,Not Metascore available,65690,Not Box Office available
1097,Kapoor & Sons,2016,132,7.7,Not Metascore available,26674,2.61
1098,Kono sekai no katasumi ni,2016,129,7.7,73        ,11246,Not Box Office available
1099,Udta Punjab,2016,148,7.7,Not Metascore available,30818,Not Box Office available
1100,Kubo en het Magische Zwaard,2016,101,7.7,84        ,129570,48.02
1101,Een man die Ove heet,2015,116,7.7,70        ,55861,3.36
1102,Tuntematon sotilas,2017,180,7.7,Not Metascore available,11477,Not Box Office available
1103,The Breadwinner,2017,94,7.7,78        ,25724,0.31
1104,Que Horas Ela Volta?,2015,112,7.7,82        ,15299,0.38
1105,Bilal: A New Breed of Hero,2015,105,7.7,52        ,22472,0.50
1106,Omoide no Marnie,2014,103,7.7,72        ,41021,0.77
1107,The Theory of Everything,2014,123,7.7,71        ,450363,35.89
1108,Kingsman: The Secret Service,2014,129,7.7,60        ,665380,128.26
1109,Kelebegin Rüyasi,2013,138,7.7,Not Metascore available,22475,Not Box Office available
1110,The Fault in Our Stars,2014,126,7.7,69        ,376956,124.87
1111,Me and Earl and the Dying Girl,2015,105,7.7,74        ,132338,6.74
1112,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87        ,628585,42.34
1113,Le passé,2013,130,7.7,85        ,49194,1.33
1114,Berserk: Ougon jidai-hen II - Dorudorei koryaku,2012,95,7.7,Not Metascore available,10856,Not Box Office available
1115,La grande bellezza,2013,141,7.7,86        ,91230,2.85
1116,Ma vie de Courgette,2016,66,7.7,85        ,25782,0.29
1117,Blue Is the Warmest Colour,2013,180,7.7,89        ,152852,2.20
1118,Eega,2012,145,7.7,Not Metascore available,24987,Not Box Office available
1119,Nanban,2012,188,7.7,Not Metascore available,15589,Not Box Office available
1120,O-jik geu-dae-man,2011,108,7.7,Not Metascore available,10122,Not Box Office available
1121,The Broken Circle Breakdown,2012,111,7.7,70        ,41377,0.18
1122,Kaze tachinu,2013,126,7.7,83        ,86360,5.21
1123,Toy Story 4,2019,100,7.7,84        ,249564,434.04
1124,Rockstar,2011,159,7.7,Not Metascore available,44931,0.99
1125,Nebraska,2013,115,7.7,87        ,118709,17.65
1126,Suikerkoorts,2012,101,7.7,72        ,422207,189.42
1127,Le Petit Prince,2015,108,7.7,70        ,62513,1.34
1128,Mankatha,2011,155,7.7,Not Metascore available,15192,Not Box Office available
1129,El infierno,2010,149,7.7,Not Metascore available,10630,Not Box Office available
1130,Detachment,2011,98,7.7,52        ,86519,0.07
1131,Midnight in Paris,2011,94,7.7,81        ,423865,56.82
1132,Kokuhaku,2010,106,7.7,Not Metascore available,39505,Not Box Office available
1133,Ajeossi,2010,119,7.7,Not Metascore available,70065,0.01
1134,De Lego Film,2014,100,7.7,83        ,355187,257.76
1135,Gravity,2013,91,7.7,96        ,823855,274.09
1136,Magadheera,2009,147,7.7,Not Metascore available,22956,Not Box Office available
1137,Star Trek: Into Darkness,2013,132,7.7,72        ,483798,228.78
1138,Bheeshmaparvam,2022,144,7.7,Not Metascore available,11628,Not Box Office available
1139,Beasts of No Nation,2015,137,7.7,79        ,81774,0.08
1140,Shyam Singha Roy,2021,155,7.7,Not Metascore available,12967,Not Box Office available
1141,A torinói ló,2011,155,7.7,80        ,17909,0.05
1142,A Thursday,2022,128,7.7,Not Metascore available,22843,Not Box Office available
1143,Oye Lucky! Lucky Oye!,2008,125,7.7,Not Metascore available,17671,0.08
1144,X-Men: First Class,2011,131,7.7,65        ,692071,146.41
1145,Rock On!!,2008,145,7.7,Not Metascore available,22267,Not Box Office available
1146,Nanjing! Nanjing!,2009,132,7.7,85        ,11155,0.12
1147,The Hangover,2009,100,7.7,73        ,782970,277.32
1148,The Trial of the Chicago 7,2020,129,7.7,76        ,176838,Not Box Office available
1149,Silver Linings Playbook,2012,122,7.7,81        ,708292,132.09
1150,Druk,2020,117,7.7,79        ,155625,Not Box Office available
1151,Argo,2012,120,7.7,86        ,614165,136.03
1152,(500) Days of Summer,2009,95,7.7,76        ,514808,32.39
1153,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65        ,545804,295.98
1154,The Boy in the Striped Pajamas,2008,94,7.7,55        ,219221,9.03
1155,Auf der anderen Seite,2007,122,7.7,85        ,32354,0.74
1156,Frost/Nixon,2008,122,7.7,80        ,108579,18.59
1157,Paprika,2006,90,7.7,81        ,83860,0.88
1158,Chaharshanbe-soori,2006,102,7.7,84        ,12480,Not Box Office available
1159,Flipped,I 2010,90,7.7,45        ,90457,1.75
1160,Toki o kakeru shôjo,2006,98,7.7,Not Metascore available,66656,Not Box Office available
1161,Guru,2007,162,7.7,70        ,24010,2.09
1162,This Is England,2006,101,7.7,86        ,122781,0.33
1163,Ex Machina,2014,108,7.7,78        ,543491,25.44
1164,Efter brylluppet,2006,120,7.7,78        ,34982,0.41
1165,Zodiac,2007,157,7.7,78        ,539707,33.08
1166,Lucky Number Slevin,2006,110,7.7,53        ,313902,22.49
1167,Joyeux Noël,2005,116,7.7,70        ,29956,1.05
1168,Adams æbler,2005,94,7.7,51        ,51119,0.00
1169,Inside I'm Dancing,2004,104,7.7,59        ,15363,0.02
1170,Rapunzel,2010,100,7.7,71        ,452187,200.82
1171,Zwartboek,2006,145,7.7,71        ,77254,4.40
1172,Brokeback Mountain,2005,134,7.7,87        ,357153,83.04
1173,Vera Drake,2004,125,7.7,83        ,25747,3.75
1174,3:10 to Yuma,2007,122,7.7,76        ,312224,53.61
1175,Machuca,2004,116,7.7,76        ,12199,Not Box Office available
1176,Dear Frankie,2004,105,7.7,63        ,21962,1.34
1177,Kung fu,2004,99,7.7,78        ,140354,17.11
1178,The Bourne Supremacy,2004,108,7.7,73        ,463913,176.24
1179,The Machinist,2004,101,7.7,61        ,390399,1.08
1180,Ray,I 2004,152,7.7,73        ,148582,75.33
1181,Ondskan,2003,113,7.7,61        ,38976,0.02
1182,Lost in Translation,2003,102,7.7,89        ,454277,44.59
1183,Harry Potter en de vuurbeker,2005,157,7.7,81        ,622889,290.01
1184,Man on Fire,2004,146,7.7,47        ,363427,77.91
1185,Coraline,2009,100,7.7,80        ,229378,75.29
1186,The Magdalene Sisters,2002,114,7.7,83        ,27428,4.89
1187,Finding Neverland,2004,106,7.7,67        ,206937,51.68
1188,Good Bye Lenin!,2003,121,7.7,68        ,146625,4.06
1189,In America,2002,105,7.7,76        ,43307,15.54
1190,Les triplettes de Belleville,2003,80,7.7,91        ,54697,7.00
1191,Adaptation.,2002,115,7.7,83        ,193292,22.25
1192,Black Hawk Down,2001,144,7.7,74        ,396621,108.64
1193,Road to Perdition,2002,117,7.7,72        ,268586,104.45
1194,Das Experiment,2001,120,7.7,60        ,94103,0.14
1195,Billy Elliot,2000,110,7.7,74        ,135449,22.00
1196,Hedwig and the Angry Inch,2001,95,7.7,85        ,35939,3.03
1197,The Count of Monte Cristo,2002,131,7.7,61        ,138704,54.23
1198,Y tu mamá también,2001,106,7.7,88        ,123456,13.62
1199,Waking Life,2001,99,7.7,83        ,64514,2.89
1200,Ocean's Eleven,2001,116,7.7,74        ,573028,183.42
1201,Water,I 2005,117,7.7,77        ,14977,3.22
1202,Brat 2,2000,122,7.7,Not Metascore available,15437,Not Box Office available
1203,Kikujirô no natsu,1999,122,7.7,44        ,20850,0.20
1204,"O Brother, Where Art Thou?",2000,107,7.7,69        ,312159,45.51
1205,Minority Report,2002,145,7.7,80        ,550898,132.07
1206,Im Juli,2000,99,7.7,71        ,22161,Not Box Office available
1207,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73        ,205272,52.04
1208,Office Space,1999,89,7.7,68        ,267424,10.82
1209,Happiness,1998,134,7.7,81        ,70722,2.81
1210,The Boondock Saints,1999,108,7.7,44        ,239885,0.03
1211,Training Day,2001,122,7.7,69        ,435716,76.63
1212,Lola rennt,1998,81,7.7,77        ,199352,7.27
1213,Tabutta Rövasata,1996,75,7.7,Not Metascore available,10304,Not Box Office available
1214,Abre los ojos,1997,119,7.7,Not Metascore available,69673,0.37
1215,Ta'm e guilass,1997,95,7.7,80        ,31469,0.31
1216,Sibirskiy tsiryulnik,1998,180,7.7,Not Metascore available,12245,Not Box Office available
1217,As Good as It Gets,1997,139,7.7,67        ,299139,148.48
1218,Karakter,1997,122,7.7,Not Metascore available,10948,0.71
1219,Hana-bi,1997,103,7.7,Not Metascore available,30923,0.23
1220,The Game,1997,129,7.7,61        ,395904,48.32
1221,Donnie Brasco,1997,127,7.7,76        ,308812,41.91
1222,Chun gwong cha sit,1997,96,7.7,70        ,29903,0.19
1223,The Castle,1997,85,7.7,Not Metascore available,16437,0.86
1224,Shine,1996,105,7.7,87        ,54499,35.81
1225,Shall We Dance?,1996,136,7.7,68        ,11212,9.68
1226,Primal Fear,1996,129,7.7,47        ,217571,56.12
1227,Sense and Sensibility,1995,136,7.7,84        ,116792,43.18
1228,The Grass Harp,1995,107,7.7,Not Metascore available,17584,0.49
1229,The Cure,1995,97,7.7,Not Metascore available,10025,2.57
1230,Apollo 13,I 1995,140,7.7,77        ,295511,173.84
1231,Il postino,1994,108,7.7,81        ,36784,21.85
1232,Kabhi Haan Kabhi Naa,1994,158,7.7,Not Metascore available,18441,Not Box Office available
1233,Clerks,1994,92,7.7,70        ,223508,3.15
1234,What's Eating Gilbert Grape?,1993,118,7.7,73        ,238022,9.17
1235,Short Cuts,1993,188,7.7,79        ,45236,6.11
1236,Philadelphia,1993,125,7.7,66        ,242555,77.32
1237,Naked,1993,131,7.7,85        ,39880,1.77
1238,The Joy Luck Club,1993,139,7.7,84        ,17014,32.86
1239,The Muppet Christmas Carol,1992,85,7.7,64        ,58538,27.28
1240,Malcolm X,1992,202,7.7,73        ,95133,48.17
1241,The Last of the Mohicans,1992,112,7.7,76        ,170835,75.51
1242,Hard Boiled,1992,128,7.7,Not Metascore available,50920,Not Box Office available
1243,Kurenai no buta,1992,94,7.7,83        ,90175,Not Box Office available
1244,Glengarry Glen Ross,1992,100,7.7,82        ,106049,10.73
1245,A Few Good Men,1992,138,7.7,62        ,264779,141.34
1246,Night on Earth,1991,129,7.7,68        ,61053,2.02
1247,Fried Green Tomatoes,1991,130,7.7,64        ,75471,82.42
1248,La double vie de Véronique,1991,98,7.7,86        ,49080,2.00
1249,Yume,1990,119,7.7,Not Metascore available,26734,1.96
1250,Miller's Crossing,1990,115,7.7,66        ,135885,5.08
1251,Home Alone,1990,103,7.7,63        ,564490,285.76
1252,When Harry Met Sally...,1989,95,7.7,76        ,220802,92.82
1253,Who Framed Roger Rabbit,1988,104,7.7,83        ,201933,156.45
1254,Spoorloos,1988,107,7.7,Not Metascore available,39538,Not Box Office available
1255,L'ours,1988,96,7.7,60        ,18073,31.75
1256,Maurice,1987,140,7.7,75        ,20238,3.13
1257,The Last Emperor,1987,163,7.7,76        ,103836,43.98
1258,Evil Dead II,1987,84,7.7,72        ,165588,5.92
1259,Empire of the Sun,1987,153,7.7,62        ,126348,22.24
1260,The Name of the Rose,1986,130,7.7,54        ,109321,7.15
1261,Down by Law,1986,107,7.7,75        ,51985,1.44
1262,Blue Velvet,1986,120,7.7,76        ,199861,8.55
